"","activity_name","subject_id","feature","mean_signal_value"
"1","LAYING",1,"tBodyAcc.mean...X",0.22159824394
"2","LAYING",1,"tBodyAcc.mean...Y",-0.0405139534294
"3","LAYING",1,"tBodyAcc.mean...Z",-0.11320355358
"4","LAYING",1,"tGravityAcc.mean...X",-0.24888179828
"5","LAYING",1,"tGravityAcc.mean...Y",0.70554977346
"6","LAYING",1,"tGravityAcc.mean...Z",0.4458177198
"7","LAYING",1,"tBodyAccJerk.mean...X",0.0810865342
"8","LAYING",1,"tBodyAccJerk.mean...Y",0.0038382040088
"9","LAYING",1,"tBodyAccJerk.mean...Z",0.010834236361
"10","LAYING",1,"tBodyGyro.mean...X",-0.016553093978
"11","LAYING",1,"tBodyGyro.mean...Y",-0.064486124088
"12","LAYING",1,"tBodyGyro.mean...Z",0.14868943626
"13","LAYING",1,"tBodyGyroJerk.mean...X",-0.107270949192
"14","LAYING",1,"tBodyGyroJerk.mean...Y",-0.04151728689
"15","LAYING",1,"tBodyGyroJerk.mean...Z",-0.0740501211
"16","LAYING",1,"tBodyAccMag.mean..",-0.8419291525
"17","LAYING",1,"tGravityAccMag.mean..",-0.8419291525
"18","LAYING",1,"tBodyAccJerkMag.mean..",-0.9543962646
"19","LAYING",1,"tBodyGyroMag.mean..",-0.874759548
"20","LAYING",1,"tBodyGyroJerkMag.mean..",-0.96346103
"21","LAYING",1,"fBodyAcc.mean...X",-0.9390990524
"22","LAYING",1,"fBodyAcc.mean...Y",-0.86706520518
"23","LAYING",1,"fBodyAcc.mean...Z",-0.8826668762
"24","LAYING",1,"fBodyAccJerk.mean...X",-0.9570738838
"25","LAYING",1,"fBodyAccJerk.mean...Y",-0.9224626098
"26","LAYING",1,"fBodyAccJerk.mean...Z",-0.9480609042
"27","LAYING",1,"fBodyGyro.mean...X",-0.850249174586
"28","LAYING",1,"fBodyGyro.mean...Y",-0.9521914948
"29","LAYING",1,"fBodyGyro.mean...Z",-0.909302721
"30","LAYING",1,"fBodyAccMag.mean..",-0.8617676481
"31","LAYING",1,"fBodyBodyAccJerkMag.mean..",-0.9333003608
"32","LAYING",1,"fBodyBodyGyroMag.mean..",-0.8621901854
"33","LAYING",1,"fBodyBodyGyroJerkMag.mean..",-0.9423669466
"34","LAYING",1,"angle.tBodyAccMean.gravity.",0.0213659655642
"35","LAYING",1,"angle.tBodyAccJerkMean..gravityMean.",0.00306040735
"36","LAYING",1,"angle.tBodyGyroMean.gravityMean.",-0.001666984698
"37","LAYING",1,"angle.tBodyGyroJerkMean.gravityMean.",0.08443716468
"38","LAYING",1,"angle.X.gravityMean.",0.4267062264
"39","LAYING",1,"angle.Y.gravityMean.",-0.52034381798
"40","LAYING",1,"angle.Z.gravityMean.",-0.35241310896
"41","LAYING",1,"tBodyAcc.std...X",-0.9280564692
"42","LAYING",1,"tBodyAcc.std...Y",-0.83682740562
"43","LAYING",1,"tBodyAcc.std...Z",-0.826061401628
"44","LAYING",1,"tGravityAcc.std...X",-0.8968300184
"45","LAYING",1,"tGravityAcc.std...Y",-0.90772000676
"46","LAYING",1,"tGravityAcc.std...Z",-0.85236629022
"47","LAYING",1,"tBodyAccJerk.std...X",-0.958482112
"48","LAYING",1,"tBodyAccJerk.std...Y",-0.9241492736
"49","LAYING",1,"tBodyAccJerk.std...Z",-0.9548551108
"50","LAYING",1,"tBodyGyro.std...X",-0.87354386782
"51","LAYING",1,"tBodyGyro.std...Y",-0.9510904402
"52","LAYING",1,"tBodyGyro.std...Z",-0.9082846626
"53","LAYING",1,"tBodyGyroJerk.std...X",-0.9186085208
"54","LAYING",1,"tBodyGyroJerk.std...Y",-0.9679072436
"55","LAYING",1,"tBodyGyroJerk.std...Z",-0.9577901596
"56","LAYING",1,"tBodyAccMag.std..",-0.79514486386
"57","LAYING",1,"tGravityAccMag.std..",-0.79514486386
"58","LAYING",1,"tBodyAccJerkMag.std..",-0.9282456284
"59","LAYING",1,"tBodyGyroMag.std..",-0.81901016976
"60","LAYING",1,"tBodyGyroJerkMag.std..",-0.9358409828
"61","LAYING",1,"fBodyAcc.std...X",-0.9244374346
"62","LAYING",1,"fBodyAcc.std...Y",-0.8336255561
"63","LAYING",1,"fBodyAcc.std...Z",-0.81289155944
"64","LAYING",1,"fBodyAccJerk.std...X",-0.9641607086
"65","LAYING",1,"fBodyAccJerk.std...Y",-0.9322178704
"66","LAYING",1,"fBodyAccJerk.std...Z",-0.9605869872
"67","LAYING",1,"fBodyGyro.std...X",-0.8822964508
"68","LAYING",1,"fBodyGyro.std...Y",-0.9512320494
"69","LAYING",1,"fBodyGyro.std...Z",-0.9165825082
"70","LAYING",1,"fBodyAccMag.std..",-0.7983009404
"71","LAYING",1,"fBodyBodyAccJerkMag.std..",-0.9218039756
"72","LAYING",1,"fBodyBodyGyroMag.std..",-0.82431943968
"73","LAYING",1,"fBodyBodyGyroJerkMag.std..",-0.9326606676
"74","LAYING",2,"tBodyAcc.mean...X",0.281373403958333
"75","LAYING",2,"tBodyAcc.mean...Y",-0.0181587397583333
"76","LAYING",2,"tBodyAcc.mean...Z",-0.107245610416667
"77","LAYING",2,"tGravityAcc.mean...X",-0.509754238125
"78","LAYING",2,"tGravityAcc.mean...Y",0.752536639375
"79","LAYING",2,"tGravityAcc.mean...Z",0.646834879583333
"80","LAYING",2,"tBodyAccJerk.mean...X",0.0825972511666667
"81","LAYING",2,"tBodyAccJerk.mean...Y",0.012254788451875
"82","LAYING",2,"tBodyAccJerk.mean...Z",-0.00180264895625
"83","LAYING",2,"tBodyGyro.mean...X",-0.01847660675
